name,href,price_begin,price_end
Химик-технолог,https://tomsk.hh.ru/vacancy/45449990?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,58000.0,0.0
«Лаборант химического анализа [id91901]»,https://tomsk.hh.ru/vacancy/43693367?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,,
Химик-технолог,https://tomsk.hh.ru/vacancy/44215892?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,70000.0,0.0
Химик-технолог,https://tomsk.hh.ru/vacancy/45485234?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,50000.0,0.0
Химик-технолог,https://tomsk.hh.ru/vacancy/45466079?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,,
Химик-технолог,https://tomsk.hh.ru/vacancy/43926895?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,70000.0,0.0
Химик,https://tomsk.hh.ru/vacancy/45449866?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,58000.0,0.0
Химик-технолог,https://tomsk.hh.ru/vacancy/45466078?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,,
Химик,https://tomsk.hh.ru/vacancy/41519891?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,,
Инженер-технолог (химик),https://tomsk.hh.ru/vacancy/45556397?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,36000.0,41000.0
Химик-хроматографист,https://tomsk.hh.ru/vacancy/45564674?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,,
Химик (фармацевтическое производство),https://tomsk.hh.ru/vacancy/45343230?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,70000.0,80000.0
Инженер-технолог (химик),https://tomsk.hh.ru/vacancy/45556398?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,36000.0,41000.0
Лаборант-химик I и II категории,https://tomsk.hh.ru/vacancy/43044424?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,0.0
Инженер-химик (ЛКМ),https://tomsk.hh.ru/vacancy/43140287?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,,
Инженер-химик (спектральные методы),https://tomsk.hh.ru/vacancy/43611990?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,45000.0,0.0
Химик-технолог,https://tomsk.hh.ru/vacancy/45271367?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,40000.0,0.0
"Продавец-кассир (Химик СНТ, , 108)",https://tomsk.hh.ru/vacancy/44700619?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,31000.0,33000.0
Провизор-технолог,https://tomsk.hh.ru/vacancy/44641592?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,35000.0,0.0
"Продавец-кассир (Рошаль, улица Химиков, 12Б)",https://tomsk.hh.ru/vacancy/42495629?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,25000.0,32000.0
Инженер-технолог,https://tomsk.hh.ru/vacancy/42177693?query=%D1%85%D0%B8%D0%BC%D0%B8%D0%BA,47000.0,0.0
